OBJECTID,AREA_,PERIMETER,FIPS_CO,STATE_CODE,NAME_LC,DISTRICT,COUNTY_NAM,STR_STATECODE,GlobalID,Shape__Area,Shape__Length
1,13142093812.7256,504248.1909,97,49,lake,1,LAKE,049,e55970c7-4758-482b-8dac-a8c909b2685c,13142093706.4473,504248.164157902
2,17041841189.5084,522912.63363,111,56,mchenry,1,MCHENRY,056,d77ea4ae-adb3-4ff9-89b5-7df74b720f17,17042626233.4297,522779.162625244
3,17245837251.6488,579951.49059,85,43,jodaviess,2,JO DAVIESS,043,da793ea1-1066-45ce-bab8-ba8e8015d466,17245836879.6816,579951.512939395
4,15744993486.3095,506026.51459,177,89,stephenson,2,STEPHENSON,089,482a7eeb-eed6-4e0a-9b35-aacb69736d72,15744993738.2251,506026.547527744
5,14477682571.2822,501614.78373,201,101,winnebago,2,WINNEBAGO,101,92db04c7-4429-421a-b781-ec7d17363ae3,14477682886.9858,501614.72275231
6,7863145869.82266,375384.59762,7,4,boone,2,BOONE,004,9f4f733f-e47a-4585-98ec-07bb26af2358,7863145390.26514,375384.592830079
7,21270292981.3779,651584.98163,141,71,ogle,2,OGLE,071,52054beb-ae88-41ad-a1f3-5479f07d43d1,21270292672.1401,651584.952306249
8,13015289057.4601,523122.80838,15,8,carroll,2,CARROLL,008,be78a8ef-1f6e-47fc-827b-ef115d5abe96,13015289048.4097,523122.849607557
9,26734803483.7008,1026420.1519,31,16,cook,1,COOK,016,e4dd82ca-b269-4f00-8265-e7d22811858a,26734803059.8076,1026420.27009528
10,14616343742.1711,513746.93235,89,45,kane,1,KANE,045,daa0b8ef-acc7-465a-83ad-167a0a721d9e,14616343922.1499,513746.834735684
11,17695622747.0302,574131.35605,37,19,dekalb,3,DEKALB,019,02a17648-46ee-427d-b6b1-42776f0de3a7,17695622796.2813,574131.326665545
12,9385064950.75812,405954.52366,43,22,dupage,1,DUPAGE,022,b6ac939b-22fb-41a0-a10c-ecdf26e7a4ad,9385065246.85352,405954.561227253
13,19420056625.6563,601028.9531,195,98,whiteside,2,WHITESIDE,098,bbc57cff-1fb5-4087-8e00-8d3396d7d4b5,19420056523.6924,601028.858103643
14,20322498451.3593,626438.76207,103,52,lee,2,LEE,052,a14c929b-3f2d-4202-b9cf-fc1137a79e26,20322498664.9233,626438.711547726
15,12575447242.9063,769280.92,161,81,rockisland,2,ROCK ISLAND,081,75d62b30-816d-4df6-ba3f-68945fa10b22,12575447505.7427,769280.936701736
16,23691599819.6886,779563.38798,197,99,will,1,WILL,099,5a3244f9-51f4-4c88-a16d-e66b2a078c56,23691600180.0811,779563.368597628
17,8988132724.17142,379070.56688,93,47,kendall,3,KENDALL,047,56ce7b0f-0386-426f-9c71-3a5d868a31d5,8988132571.31836,379070.461167849
18,32014165095.1327,825585.82497,99,50,lasalle,3,LASALLE,050,10d8cb1e-60e9-4f20-be66-c28e582e135d,32014165211.7324,825585.806468926
19,24349822733.258,695108.74411,11,6,bureau,3,BUREAU,006,8f411861-d660-46ad-9931-5ca6f94d058a,24349823347.7581,695108.821674755
20,23011962327.0633,614381.47263,73,37,henry,2,HENRY,037,fc752df9-ba97-45b1-87bb-481c123a4601,23011961963.231,614381.477239126
21,12007001896.1268,443882.54989,63,32,grundy,3,GRUNDY,032,0b6b5fa3-e555-443a-aef6-83c592141974,12007001291.7363,443882.520935699
22,15855354865.3467,533373.01448,131,66,mercer,4,MERCER,066,af14d310-84ef-4a24-827f-598725eae4c7,15855354796.3188,533373.008248403
23,19011796595.0048,612834.66212,91,46,kankakee,3,KANKAKEE,046,d8fb8640-cb69-4d49-98fc-e60281996555,19011796340.1753,612834.611133202
24,4802293885.48236,324752.19,155,78,putnam,4,PUTNAM,078,a64105ed-c5de-4d15-a1b9-58c254a8c298,4802293911.84937,324752.325167713
25,8039876058.32848,380426.31182,175,88,stark,4,STARK,088,2d3b0141-a1ac-4995-8330-9eafca734201,8039875863.91357,380426.257848992
26,20066648500.6916,570341.49042,95,48,knox,4,KNOX,048,4d440ccf-f388-4654-8af5-2afcd1f93ba9,20066648150.5703,570341.486189707
27,11107701564.636,511601.0168,123,62,marshall,4,MARSHALL,062,772ea68f-5125-42ba-b78b-f7cce343bf87,11107701636.0461,511601.096158578
28,29170570449.7084,740206.94971,105,53,livingston,3,LIVINGSTON,053,9f05a881-2e15-4ef8-a1fd-f9e141418421,29170571196.3618,740206.987714534
29,11068473751.4634,499391.86565,71,36,henderson,4,HENDERSON,036,5d80febb-eb80-42c3-a4c7-fc5b7dcebe47,11068473633.658,499391.889259532
30,15139407929.8026,508470.58583,187,94,warren,4,WARREN,094,0075f27a-fde6-41e3-b7ff-e984d809cc70,15139407829.3142,508470.572183021
31,31220639203.3858,708042.21847,75,38,iroquois,3,IROQUOIS,038,dff8e5b6-3f65-4bc9-9dd7-caf6213d2b2a,31220639487.502,708042.156238525
32,13562855558.4095,727456.79492,53,27,ford,3,FORD,027,b256294a-44bc-4b72-abfb-7d72ee5b167e,13562855782.948,727456.82851365
33,17563829007.66,590027.03411,143,72,peoria,4,PEORIA,072,8056fe6f-f1a6-4e49-b936-b488c1c5862d,17563829015.0647,590027.028923511
34,15136126440.4976,570047.6578,203,102,woodford,4,WOODFORD,102,93ddba25-3186-4d66-8b4f-319902badb2e,15136125909.3313,570047.673193414
35,33079258940.0774,792283.85411,113,57,mclean,5,MCLEAN,057,66b7165e-fec8-4ecf-8698-2edc12d61d67,33079258804.6589,792283.845516494
36,18349672092.7416,641475.91014,179,90,tazewell,4,TAZEWELL,090,9ebc450f-a6b7-4790-a83c-19946751a140,18349672577.0884,641475.934266673
37,24596094714.1205,657717.5114,57,29,fulton,4,FULTON,029,1cf0e970-03eb-4952-a17a-afebf00142d0,24596094952.792,657717.430797134
38,22688369989.3676,634935.55414,67,34,hancock,6,HANCOCK,034,eac2caea-1bee-40c5-9aee-58dad6123532,22688369870.0562,634935.554452832
39,16449667171.1999,513235.04044,109,55,mcdonough,4,MCDONOUGH,055,a4866f39-0dd0-494d-9890-0c5de09f6767,16449667085.3562,513235.014442297
40,25148560516.36,694969.66626,183,92,vermilion,5,VERMILION,092,cd1424ab-9577-4e21-b9bf-87c9bd6ca8e7,25148559925.7844,694969.536205101
41,15717195669.4465,823854.33464,125,63,mason,6,MASON,063,f525bb05-3c20-40b4-ab46-58b9f953a02e,15717195862.8352,823854.294144127
42,27850406513.9221,677932.94772,19,10,champaign,5,CHAMPAIGN,010,673abb13-c2f4-49e7-b404-cc49c64229e3,27850405911.665,677932.827467899
43,17254410728.8069,550749.26122,107,54,logan,6,LOGAN,054,7592b5c1-2904-4b65-91fb-99c5724ebedf,17254410234.2278,550749.276964686
44,12252988211.34,494470.25433,147,74,piatt,5,PIATT,074,76f4e39a-6bd1-411f-b65b-0771266cf710,12252988696.0823,494470.237769156
45,11294872035.4818,464999.66988,39,20,dewitt,5,DEWITT,020,2e717bd6-8c68-4ea4-976f-5a3f72a63d1a,11294872128.0728,464999.597827915
46,12295604344.9749,615091.31584,169,85,schuyler,6,SCHUYLER,085,2d47e613-9b30-4008-8c3e-bd072e960238,12295604138.3804,615091.424087872
47,24294052877.3746,632871.23976,1,1,adams,6,ADAMS,001,f018672e-851d-4e06-a9af-5552c9f2da23,24294052677.7419,632871.259335023
48,8792718123.00447,495056.65509,129,65,menard,6,MENARD,065,b4f099cf-ea2b-4cfd-85b8-e97ac58666ec,8792718680.5437,495056.539412908
49,10699051162.3175,591951.97179,17,9,cass,6,CASS,009,f8d86124-b319-4cef-8427-7de1be852d3a,10699050486.0901,591951.860770878
50,8560505424.78281,441054.10372,9,5,brown,6,BROWN,005,7ae49ab7-b202-416a-9745-75de603744fb,8560505457.32031,441054.153501195
51,16336181683.5651,557546.1684,115,58,macon,7,MACON,058,53d4a159-dfab-448d-a8fb-f072f856913e,16336181668.0212,557546.092225459
52,24452755067.8824,782024.18583,167,84,sangamon,6,SANGAMON,084,0990a9bb-37c8-4309-9b36-8db12085a0a6,24452755027.9014,782024.080844359
53,17411934367.5294,561926.31838,45,23,edgar,5,EDGAR,023,d43542f3-190a-472e-ace7-30190b3aa346,17411934757.7192,561926.243004337
54,11638322945.2139,466777.01827,41,21,douglas,5,DOUGLAS,021,fde17f37-3f61-46c1-9aa3-fafc3b402195,11638323165.2368,466777.016971098
55,15957597764.1696,622749.8822,137,69,morgan,6,MORGAN,069,d1c785be-9514-4476-bed5-cf2f6c2a5df2,15957598344.7651,622749.87171869
56,23595177745.1051,717479.7873,149,75,pike,6,PIKE,075,55b002fb-ab54-43e5-b747-207c657bc614,23595178577.3229,717479.773458387
57,19947353947.0452,656624.26035,21,11,christian,6,CHRISTIAN,011,d98f5967-7762-40c5-ad2e-dd8115eb1b23,19947354147.9756,656624.144057035
58,9605817006.36359,441819.06009,139,70,moultrie,7,MOULTRIE,070,108abf00-47c1-4dea-90f1-a267d2ffe24f,9605816638.74341,441819.066882927
59,7050840419.40311,367741.94829,171,86,scott,6,SCOTT,086,18c3999b-2b05-4a03-bb6c-6d6632240575,7050840473.86182,367741.876532023
60,14227927367.0824,512055.30371,29,15,coles,7,COLES,015,a205fe66-6f99-41a8-82c6-d546019784ce,14227927650.5371,512055.284482575
61,21419119648.0782,697425.56903,173,87,shelby,7,SHELBY,087,4a182d9f-d46a-44bb-b95e-ab4bb03c7eb6,21419119765.989,697425.597713713
62,19784075148.7579,700535.93508,135,68,montgomery,6,MONTGOMERY,068,7d3ec477-8042-482a-9ab1-25d9f19b7e49,19784074896.9326,700535.989531273
63,24185566679.1163,637792.06319,117,59,macoupin,6,MACOUPIN,059,5ee55573-e361-4f7d-a581-ea1eb57f8a9f,24185566733.7375,637792.125082176
64,15227689659.1538,594444.13626,61,31,greene,8,GREENE,031,3e9549af-c905-494c-8da6-f5e506d74414,15227689632.7509,594444.230382908
65,14084281068.0917,543429.1706,23,12,clark,7,CLARK,012,b3f432c3-d174-420c-a6a8-6cb949a144e0,14084281100.5977,543429.231150252
66,7908234780.23788,588214.63573,13,7,calhoun,8,CALHOUN,007,02644bf0-464f-4516-89fa-1a960dacedd0,7908234760.75818,588214.652218379
67,9678566886.48035,410621.52064,35,18,cumberland,7,CUMBERLAND,018,adc37a0d-2dcd-4c5a-a383-f9f8b0ab65a4,9678567323.43018,410621.54131492
68,10513595039.3437,529199.73328,83,42,jersey,8,JERSEY,042,5abbcb02-7e0f-4952-ab95-00b02d62c8c6,10513594949.3508,529199.761157527
69,13387584410.7005,474659.18301,49,25,effingham,7,EFFINGHAM,025,f3f2fdd5-3657-4e42-a7c4-cb36e1e7eeb7,13387584247.5134,474659.191702409
70,20223553956.6212,668500.86862,51,26,fayette,7,FAYETTE,026,5c55f846-72e1-46fe-997a-554cd2416430,20223554496.6445,668500.824353056
71,12446051662.6667,540669.58382,33,17,crawford,7,CRAWFORD,017,c1c39822-60ed-41bc-bc9f-bb3f2efa0cbe,12446051518.2598,540668.815585851
72,13898066771.5562,470578.98353,79,40,jasper,7,JASPER,040,a4480085-73d1-43f5-8c86-e69e43365b63,13898066913.4849,470578.86237593
73,10672323742.3209,429514.01946,5,3,bond,8,BOND,003,af885f8e-c2a0-4a2f-9323-53789d95ddf0,10672323595.2944,429514.090517941
74,20637606566.944,652200.64428,119,60,madison,8,MADISON,060,53ab39ba-ff73-4785-b1ad-9ec8209da58e,20637606462.0291,652200.673473851
75,13093711614.929,537155.41258,25,13,clay,7,CLAY,013,e5616d6c-a05e-40c4-a3d4-8f3e84447a19,13093711778.1437,537155.387423079
76,10439144875.4616,441785.09214,101,51,lawrence,7,LAWRENCE,051,3c3fcdc3-8f1a-4a4e-9297-c2532bb1835b,10439144567.3191,441785.027044049
77,10094458830.1287,462376.90134,159,80,richland,7,RICHLAND,080,34738e5e-d61f-4b4f-9d0c-4c68dd518dd0,10094458763.5747,462376.859102263
78,16065002302.4286,509721.23164,121,61,marion,8,MARION,061,9168145f-9f76-48cb-99d1-69c6155471f4,16065002377.1403,509721.222923973
79,14025753721.802,685871.79323,27,14,clinton,8,CLINTON,014,4eb0f667-452c-463b-8784-574197ec0dca,14025753740.0216,685871.919279501
80,18786040407.3802,606459.10411,163,82,stclair,8,ST. CLAIR,082,27be2553-a616-45d8-b7c7-c8aa2e79cfb1,18786040206.0239,606459.120401557
81,19956167198.5664,568520.2018,191,96,wayne,7,WAYNE,096,6afdbecb-5856-459e-9dd8-e767d2a2ba41,19956166783.1394,568520.171374811
82,6347296787.86126,564738.78744,185,93,wabash,7,WABASH,093,7b7d9208-9916-45f1-b159-dc1d4dbe64bc,6347296700.56921,564738.763154627
83,6211276515.4883,436168.74446,47,24,edwards,7,EDWARDS,024,e8573b1c-abc4-4e0a-a33b-9d49161fddab,6211276636.68945,436168.69502721
84,15726594773.9989,657924.96192,189,95,washington,8,WASHINGTON,095,986a0f27-8164-4941-8c9a-4cf8ecd6ab0a,15726594406.4397,657925.033397835
85,11093865819.8092,505148.6454,133,67,monroe,8,MONROE,067,06b0c6c3-041f-4943-b1c8-47845fa1d03f,11093866047.5956,505148.615730639
86,16276875607.8747,510278.98289,81,41,jefferson,9,JEFFERSON,041,85378074-50d3-44a1-8b94-bab0298013aa,16276876099.6594,510279.000280363
87,13998863227.088,626460.42015,193,97,white,9,WHITE,097,74a80854-d7d9-4633-844d-aa686aaf8d52,13998863374.1884,626460.399887964
88,12157035674.2766,445643.8378,65,33,hamilton,9,HAMILTON,033,d44f3b85-99a4-4936-aa17-273c96f62d8c,12157035211.2272,445643.872306184
89,16587626171.8312,626098.49641,157,79,randolph,8,RANDOLPH,079,5d20624f-f7a2-492e-b5b7-e31b918eff5a,16587625964.3339,626098.346863457
90,12457896938.4639,513900.83372,145,73,perry,9,PERRY,073,4094b888-ae75-4eb1-8f0c-a072b267a528,12457897011.0297,513900.846318038
91,12035041322.6774,517331.47305,55,28,franklin,9,FRANKLIN,028,bf0491a6-acaf-4a6d-a5e9-b705b3e6bffc,12035041321.6387,517331.479200034
92,16792178916.167,584526.54544,77,39,jackson,9,JACKSON,039,cb99ebdf-a59a-4550-ba9f-5529cc9941a3,16792179056.7144,584526.541516751
93,9157160799.83908,456842.08669,59,30,gallatin,9,GALLATIN,030,7adb9c77-c2d9-476f-9329-a8cc248f4292,9157160846.35468,456842.134957804
94,10787955749.8836,416950.68842,165,83,saline,9,SALINE,083,51bf5978-df9f-4078-b614-96dbeb8aa9fa,10787955844.4391,416950.675726392
95,12392919962.858,449225.54419,199,100,williamson,9,WILLIAMSON,100,7f3f1bad-1386-462b-8710-b77ba4f51585,12392919606.4879,449225.594006477
96,5061534983.63342,325303.8081,69,35,hardin,9,HARDIN,035,fcffed74-b702-4cf9-ad1e-15f87e7eb343,5061535198.315,325303.780759366
97,10451461634.657,535874.32795,151,76,pope,9,POPE,076,af1dfd16-8d3b-4ecd-a995-bc6756c6d415,10451461581.7479,535874.328461722
98,9723744821.83684,422725.03361,87,44,johnson,9,JOHNSON,044,8cca9d73-f14b-40c4-a3d1-275a4e71ad23,9723744882.61536,422725.030493281
99,11763907388.8402,489546.21914,181,91,union,9,UNION,091,446e7191-00a4-4210-8d05-0d61bee7a7b4,11763907374.498,489546.255608545
100,6758354272.33633,379787.08595,127,64,massac,9,MASSAC,064,e3486530-5382-4f9e-9de4-212596134a2c,6758354331.47043,379787.128881301
101,5670784540.93135,459129.16659,153,77,pulaski,9,PULASKI,077,d104aa18-65cc-4e03-ab20-d5b9d6130f9a,5670784429.59338,459129.226548663
102,7057354469.2365,588506.14888,3,2,alexander,9,ALEXANDER,002,c0f035c8-bbeb-46db-8d8f-442cfbe8a12a,7057354912.38779,588506.198281704
