Country,Month,Reported cases of acute respiratory infections,Reported cases of severe acute respiratory infections,Reported cases of influenza-like illnesses,Reported deaths caused by severe acute respiratory infections,Reported cases of influenza-like illness per thousand outpatients,Reported cases of severe acute respiratory illness per thousand outpatients,A H1N12009 - Sentinel surveillance,A H1N12009 - Non-sentinel surveillance,A H1N12009 - Undefined surveillance,A H1N12009 - All types of surveillance,A H1 - Sentinel surveillance,A H1 - Non-sentinel surveillance,A H1 - Undefined surveillance,A H1 - All types of surveillance,A H3 - Sentinel surveillance,A H3 - Non-sentinel surveillance,A H3 - Undefined surveillance,A H3 - All types of surveillance,A H5 - Sentinel surveillance,A H5 - Non-sentinel surveillance,A H5 - Undefined surveillance,A H5 - All types of surveillance,A H7N9 - Sentinel surveillance,A H7N9 - Non-sentinel surveillance,A H7N9 - Undefined surveillance,A H7N9 - All types of surveillance,A (unknown subtype) - Sentinel surveillance,A (unknown subtype) - Non-sentinel surveillance,A (unknown subtype) - Undefined surveillance,A (unknown subtype) - All types of surveillance,Influenza A - Sentinel surveillance,Influenza A - Non-sentinel surveillance,Influenza A - Undefined surveillance,Influenza A - All types of surveillance,B Yamagata - Sentinel surveillance,B Yamagata - Non-sentinel surveillance,B Yamagata - Undefined surveillance,B Yamagata - All types of surveillance,B Victoria - Sentinel surveillance,B Victoria - Non-sentinel surveillance,B Victoria - Undefined surveillance,B Victoria - All types of surveillance,B (unknown lineage)  - Sentinel surveillance,B (unknown lineage) - Non-sentinel surveillance,B (unknown lineage) - Undefined surveillance,B (unknown lineage) - All types of surveillance,Influenza B - Sentinel surveillance,Influenza B - Non-sentinel surveillance,Influenza B - Undefined surveillance,Influenza B - All types of surveillance,All strains - Sentinel surveillance,All strains - Non-sentinel surveillance,All strains - Undefined surveillance,All strains - All types of surveillance,Sentinel surveillance,Non-sentinel surveillance,Undefined surveillance,All types of surveillance,Share of positive tests - Sentinel surveillance,Share of positive tests - Non-sentinel surveillance,Share of positive tests - Undefined surveillance,Share of positive tests - All types of surveillance,A H1N12009,A H1,A H3,A H5,A H7N9,A (unknown subtype),All Influenza A,B Victoria,B Yamagata,B (unknown lineage),All Influenza B,A H1N12009,A H1,A H3,A H5,A H7N9,A (unknown subtype),All Influenza A,B Victoria,B Yamagata,B (unknown lineage),All Influenza B,A H1N12009,A H1,A H3,A H5,A H7N9,A (unknown subtype),All Influenza A,B Victoria,B Yamagata,B (unknown lineage),All Influenza B,A H1N12009,A H1,A H3,A H5,A H7N9,A (unknown subtype) ,All Influenza A,B Victoria,B Yamagata,B (unknown lineage),All Influenza B,reported_sari_icu,outpatients_ari,outpatientssari,outpatients_ili,outpatientssari_deaths,outpatientssari_icu,inpatientsari,inpatients_sari,inpatientsili,inpatientssari_deaths,inpatients_sari_icu,spec_processed_nbnonsentinel,spec_processed_nbnotdefined,spec_processed_nbsentinel,spec_received_nbnonsentinel,spec_received_nbnotdefined,spec_received_nbsentinel,spec_processed_nbcombined,spec_received_nbcombined,ari_cases_per_thousand_outpatients
United States,2020-12-01,,,85390,,14.559961318969727,,4,,,4,,,,,4,,,4,,,,0,,,,,22,130,,152,30,130,,160,0,,,0,2,,,2,10,297,,307,12,297,,309,42,427,,469,54645,159049,,213694,0.07573700230568647,0.2681598700582981,,0.21920889243483543,4,0,4,0,0,152,,2,0,307,,4,0,4,0,0,22,,2,0,10,,0,0,0,0,0,130,,0,0,297,,0,0,0,0,0,0,,0,0,0,,,,,5867904.0,,,,,,,,159476.0,,54687.0,159476.0,,54687.0,214163.0,214163,
United States,2021-01-01,,,77174,,12.581417083740234,,1,,,1,,,,,1,,,1,,,,0,,,,,14,85,,99,16,85,,101,,,,,2,,,2,8,255,,263,10,255,,265,26,340,,366,59505,161895,,221400,0.042347772512584925,0.20715295895934105,,0.16291069984436035,1,0,1,0,0,99,,2,0,263,,1,0,1,0,0,14,,2,0,8,,0,0,0,0,0,85,,0,0,255,,0,0,0,0,0,0,,0,0,0,,,,,6123409.0,,,,,,,,162235.0,,59532.0,162235.0,,59532.0,221767.0,221767,
United States,2021-02-01,,,56157,,9.563218593597412,,1,,,1,,,,,1,,,1,,,,0,,,,,10,68,,78,12,68,,80,,,,,1,,,1,8,135,,143,9,135,,144,21,203,,224,62747,137197,,199944,0.0334327993914485,0.146538021042943,,0.11118483729660511,1,0,1,0,0,78,,1,0,143,,1,0,1,0,0,10,,1,0,8,,0,0,0,0,0,68,,0,0,135,,0,0,0,0,0,0,,0,0,0,,,,,5874206.0,,,,,,,,137400.0,,62768.0,137400.0,,62768.0,200168.0,200168,
United States,2021-03-01,,,73046,,9.288991737365723,,1,,,1,,,,,1,,,1,,,,0,,,,,13,81,,94,15,81,,96,,,,,1,,,1,4,83,,87,5,83,,88,20,164,,184,73547,170554,,244101,0.027615397050976754,0.09571709185838699,,0.07520501837134361,1,0,1,0,0,94,,1,0,87,,1,0,1,0,0,13,,1,0,4,,0,0,0,0,0,81,,0,0,83,,0,0,0,0,0,0,,0,0,0,,,,,7857889.0,,,,,,,,170718.0,,73567.0,170718.0,,73567.0,244285.0,244285,
United States,2021-04-01,,,76768,,11.301671981811523,,2,,,2,,,,,1,,,1,,,,0,,,,,4,46,,50,7,46,,53,,,,,0,,,0,3,53,,56,3,53,,56,10,99,,109,54329,123474,,177803,0.01714652474038303,0.08009955286979675,,0.06136574875563383,2,0,1,0,0,50,,0,0,56,,2,0,1,0,0,4,,0,0,3,,0,0,0,0,0,46,,0,0,53,,0,0,0,0,0,0,,0,0,0,,,,,6792656.0,,,,,,,,123573.0,,54339.0,123573.0,,54339.0,177912.0,177912,
United States,2021-05-01,,,101378,,12.340613555908202,,1,,,1,,,,,0,,,0,,,,0,,,,,3,71,,74,4,71,,75,,,,,6,,,6,1,86,,87,7,86,,93,11,157,,168,45346,135930,,181276,0.0430877103159825,0.11603277325630187,,0.09313032180070877,1,0,0,0,0,74,,6,0,87,,1,0,0,0,0,3,,6,0,1,,0,0,0,0,0,71,,0,0,86,,0,0,0,0,0,0,,0,0,0,,,,,8215294.0,,,,,,,,136087.0,,45357.0,136087.0,,45357.0,181444.0,181444,
United States,2021-06-01,,,78854,,11.885658979415894,,1,,,1,,,,,0,,,0,,,,0,,,,,3,40,,43,4,40,,44,,,,,0,,,0,0,60,,60,0,60,,60,4,100,,104,24209,94720,,118929,0.022198288701474667,0.10539196245372295,,0.08760566730052233,1,0,0,0,0,43,,0,0,60,,1,0,0,0,0,3,,0,0,0,,0,0,0,0,0,40,,0,0,60,,0,0,0,0,0,0,,0,0,0,,,,,6635255.0,,,,,,,,94820.0,,24213.0,94820.0,,24213.0,119033.0,119033,
United States,2021-07-01,,,113368,,16.00021719932556,,2,,,2,,,,,7,,,7,,,,0,,,,,5,32,,37,14,32,,46,,,,,1,,,1,2,51,,53,3,51,,54,17,83,,100,32853,109223,,142076,0.05205639358609915,0.07585702743381262,,0.07024211529642344,2,0,7,0,0,37,,1,0,53,,2,0,7,0,0,5,,1,0,2,,0,0,0,0,0,32,,0,0,51,,0,0,0,0,0,0,,0,0,0,,,,,7053719.0,,,,,,,,109306.0,,32870.0,109306.0,,32870.0,142176.0,142176,
United States,2021-08-01,,,203736,,22.126414108276368,,1,,,1,,,,,6,,,6,,,,0,,,,,12,70,,82,19,70,,89,,,,,1,,,1,5,62,,67,6,62,,68,25,132,,157,98592,177426,,276018,0.026196560822427273,0.07562706917524338,,0.058277597278356554,1,0,6,0,0,82,,1,0,67,,1,0,6,0,0,12,,1,0,5,,0,0,0,0,0,70,,0,0,62,,0,0,0,0,0,0,,0,0,0,,,,,9207151.0,,,,,,,,177558.0,,98618.0,177558.0,,98618.0,276176.0,276176,
United States,2021-09-01,,,138485,,19.91575002670288,,4,,,4,,,,,6,,,6,,,,0,,,,,16,56,,72,26,56,,82,,,,,4,,,4,2,62,,64,7,62,,69,33,118,,151,78502,156184,,234686,0.04192609619349241,0.07540971972048283,,0.06463205255568027,4,0,6,0,0,72,,4,0,64,,4,0,6,0,0,16,,4,0,2,,0,0,0,0,0,56,,0,0,62,,0,0,0,0,0,0,,0,0,0,,,,,6939860.0,,,,,,,,156302.0,,78535.0,156302.0,,78535.0,234837.0,234837,
United States,2021-10-01,,,149540,,19.055840015411377,,1,,,1,,,,,281,,,281,,,,0,,,,,17,190,,207,299,190,,489,,,,,16,,,16,19,141,,160,35,141,,176,334,331,,665,88385,196497,,284882,0.39252373576164246,0.16626290045678616,,0.23326678574085236,1,0,281,0,0,207,,16,0,160,,1,0,281,0,0,17,,16,0,19,,0,0,0,0,0,190,,0,0,141,,0,0,0,0,0,0,,0,0,0,,,,,7844567.0,,,,,,,,196828.0,,88720.0,196828.0,,88720.0,285548.0,285548,
United States,2021-11-01,,,227243,,23.369342422485353,,4,,,4,,,,,2210,,,2210,,,,0,,,,,332,4800,,5132,2546,4800,,7346,,,,,14,,,14,17,228,,245,31,228,,259,2577,5028,,7605,110866,345316,,456182,2.32529673576355,1.3132237493991852,,1.5477368831634521,4,0,2210,0,0,5132,,14,0,245,,4,0,2210,0,0,332,,14,0,17,,0,0,0,0,0,4800,,0,0,228,,0,0,0,0,0,0,,0,0,0,,,,,9721392.0,,,,,,,,350344.0,,113444.0,350344.0,,113444.0,463788.0,463788,
United States,2021-12-01,,,310671,,37.40368843078613,,0,,,0,,,,,4087,,,4087,,,,0,,,,,1350,23922,,25272,5437,23922,,29359,,,,,2,,,2,14,299,,313,16,299,,315,5453,24221,,29674,134208,455701,,589909,3.9401275515556335,5.0665658712387085,,4.816587686538696,0,0,4087,0,0,25272,,2,0,313,,0,0,4087,0,0,1350,,2,0,14,,0,0,0,0,0,23922,,0,0,299,,0,0,0,0,0,0,,0,0,0,,,,,8233861.0,,,,,,,,479922.0,,139661.0,479922.0,,139661.0,619583.0,619583,
United States,2022-01-01,,,271695,,27.8261812210083,,0,,,0,,,,,2768,,,2768,,,,0,,,,,1249,11688,,12937,4017,11688,,15705,,,,,3,,,3,19,299,,318,22,299,,321,4039,11987,,16026,247482,531097,,778579,1.616483497619629,2.197192430496216,,2.0147714138031008,0,0,2768,0,0,12937,,3,0,318,,0,0,2768,0,0,1249,,3,0,19,,0,0,0,0,0,11688,,0,0,299,,0,0,0,0,0,0,,0,0,0,,,,,9434600.0,,,,,,,,543084.0,,251521.0,543084.0,,251521.0,794605.0,794605,
United States,2022-02-01,,,97058,,13.751921892166138,,2,,,2,,,,,1743,,,1743,,,,0,,,,,572,10805,,11377,2317,10805,,13122,,,,,2,,,2,7,188,,195,9,188,,197,2326,10993,,13319,83069,238967,,322036,2.782539427280426,4.422305881977081,,4.0259615778923035,2,0,1743,0,0,11377,,2,0,195,,2,0,1743,0,0,572,,2,0,7,,0,0,0,0,0,10805,,0,0,188,,0,0,0,0,0,0,,0,0,0,,,,,7056052.0,,,,,,,,249960.0,,85395.0,249960.0,,85395.0,335355.0,335355,
United States,2022-03-01,,,126659,,17.023391008377075,,3,,,3,,,,,2232,,,2232,,,,0,,,,,452,20204,,20656,2687,20204,,22891,,,,,2,,,2,2,257,,259,4,257,,261,2691,20461,,23152,55386,237112,,292498,4.665485262870789,7.926503419876099,,7.326198220252991,3,0,2232,0,0,20656,,2,0,259,,3,0,2232,0,0,452,,2,0,2,,0,0,0,0,0,20204,,0,0,257,,0,0,0,0,0,0,,0,0,0,,,,,7434509.0,,,,,,,,257573.0,,58077.0,257573.0,,58077.0,315650.0,315650,
United States,2022-04-01,,,166133,,21.293667316436768,,6,,,6,,,,,2703,,,2703,,,,0,,,,,439,26042,,26481,3148,26042,,29190,,,,,1,,,1,9,155,,164,10,155,,165,3158,26197,,29355,53234,262675,,315909,5.599468946456909,9.093759059906006,,8.522520184516907,6,0,2703,0,0,26481,,1,0,164,,6,0,2703,0,0,439,,1,0,9,,0,0,0,0,0,26042,,0,0,155,,0,0,0,0,0,0,,0,0,0,,,,,7796924.0,,,,,,,,288872.0,,56392.0,288872.0,,56392.0,345264.0,345264,
United States,2022-05-01,,,261100,,25.80077133178711,,10,,,10,,,,,2995,,,2995,,,,0,,,,,626,26388,,27014,3631,26388,,30019,,,,,0,,,0,7,226,,233,7,226,,233,3638,26614,,30252,72188,383540,,455728,4.782322788238526,6.483765888214111,,6.216275310516357,10,0,2995,0,0,27014,,0,0,233,,10,0,2995,0,0,626,,0,0,7,,0,0,0,0,0,26388,,0,0,226,,0,0,0,0,0,0,,0,0,0,,,,,10117528.0,,,,,,,,410154.0,,75826.0,410154.0,,75826.0,485980.0,485980,
United States,2022-06-01,,,157890,,20.216757774353027,,1,,,1,,,,,900,,,900,,,,0,,,,,175,5915,,6090,1076,5915,,6991,,,,,0,,,0,7,153,,160,7,153,,160,1083,6068,,7151,66218,269390,,335608,1.6887090504169464,2.1582187116146088,,2.062708258628845,1,0,900,0,0,6090,,0,0,160,,1,0,900,0,0,175,,0,0,7,,0,0,0,0,0,5915,,0,0,153,,0,0,0,0,0,0,,0,0,0,,,,,7804790.0,,,,,,,,275458.0,,67301.0,275458.0,,67301.0,342759.0,342759,
United States,2022-07-01,,,132659,,16.891761779785156,,1,,,1,,,,,273,,,273,,,,0,,,,,47,1647,,1694,321,1647,,1968,,,,,0,,,0,9,149,,158,9,149,,158,330,1796,,2126,81191,243946,,325137,0.41127413511276245,0.7255987077951431,,0.647972859442234,1,0,273,0,0,1694,,0,0,158,,1,0,273,0,0,47,,0,0,9,,0,0,0,0,0,1647,,0,0,149,,0,0,0,0,0,0,,0,0,0,,,,,7854362.0,,,,,,,,245742.0,,81521.0,245742.0,,81521.0,327263.0,327263,
United States,2022-08-01,,,163459,,16.70288257598877,,28,,,28,,,,,339,,,339,,,,0,,,,,45,1322,,1367,412,1322,,1734,,,,,4,,,4,8,166,,174,12,166,,178,424,1488,,1912,89552,276641,,366193,0.47993302941322324,0.532132476568222,,0.5183746874332428,28,0,339,0,0,1367,,4,0,174,,28,0,339,0,0,45,,4,0,8,,0,0,0,0,0,1322,,0,0,166,,0,0,0,0,0,0,,0,0,0,,,,,9777025.0,,,,,,,,278129.0,,89979.0,278129.0,,89979.0,368108.0,368108,
United States,2022-09-01,,,168421,,21.05160617828369,,55,,,55,,,,,362,,,362,,,,0,,,,,47,2974,,3021,464,2974,,3438,,,,,4,,,4,15,207,,222,19,207,,226,483,3181,,3664,43987,253188,,297175,1.1056195944547653,1.2212914526462555,,1.205874353647232,55,0,362,0,0,3021,,4,0,222,,55,0,362,0,0,47,,4,0,15,,0,0,0,0,0,2974,,0,0,207,,0,0,0,0,0,0,,0,0,0,,,,,7997829.0,,,,,,,,256369.0,,44471.0,256369.0,,44471.0,300840.0,300840,
United States,2022-10-01,,,445343,,37.53395767211914,,765,,,765,,,,,2675,,,2675,,,,0,,,,,301,36319,,36620,3741,36319,,40060,,,,,24,,,24,16,559,,575,40,559,,599,3781,36878,,40659,42974,471331,,514305,7.897944736480713,6.54832878112793,,6.66186032295227,765,0,2675,0,0,36620,,24,0,575,,765,0,2675,0,0,301,,24,0,16,,0,0,0,0,0,36319,,0,0,559,,0,0,0,0,0,0,,0,0,0,,,,,11685548.0,,,,,,,,508209.0,,46756.0,508209.0,,46756.0,554965.0,554965,
United States,2022-11-01,,,628489,,65.0855188369751,,1873,,,1873,,,,,6682,,,6682,,,,0,,,,,1533,139519,,141052,10088,139519,,149607,,,,,9,,,9,7,728,,735,16,728,,744,10104,140247,,150351,32971,511399,,544370,23.284547805786133,21.16101861000061,,21.293456077575684,1873,0,6682,0,0,141052,,9,0,735,,1873,0,6682,0,0,1533,,9,0,7,,0,0,0,0,0,139519,,0,0,728,,0,0,0,0,0,0,,0,0,0,,,,,9667722.0,,,,,,,,651646.0,,43076.0,651646.0,,43076.0,694722.0,694722,
United States,2022-12-01,,,561862,,62.28799057006836,,1982,,,1982,,,,,5791,,,5791,,,,0,,,,,1851,141610,,143461,9624,141610,,151234,,,,,21,,,21,6,740,,746,27,740,,767,9651,142350,,152001,31072,503116,,534188,23.307008743286133,21.602686643600464,,21.699045419692993,1982,0,5791,0,0,143461,,21,0,746,,1982,0,5791,0,0,1851,,21,0,6,,0,0,0,0,0,141610,,0,0,740,,0,0,0,0,0,0,,0,0,0,,,,,8972269.0,,,,,,,,645466.0,,40723.0,645466.0,,40723.0,686189.0,686189,
United States,2023-01-01,,,335588,,30.442687225341796,,1075,,,1075,,,,,1956,,,1956,,,,0,,,,,453,21471,,21924,3484,21471,,24955,,,,,65,,,65,9,836,,845,74,836,,910,3558,22307,,25865,33857,511479,,545336,8.99459924697876,3.9863593101501467,,4.318390917778015,1075,0,1956,0,0,21924,,65,0,845,,1075,0,1956,0,0,453,,65,0,9,,0,0,0,0,0,21471,,0,0,836,,0,0,0,0,0,0,,0,0,0,,,,,10995285.0,,,,,,,,533786.0,,37415.0,533786.0,,37415.0,571201.0,571201,
United States,2023-02-01,,,235247,,25.981914520263672,,352,,,352,,,,,297,,,297,,,,0,,,,,73,3225,,3298,722,3225,,3947,,,,,89,,,89,21,976,,997,110,976,,1086,832,4201,,5033,27572,375862,,403434,2.9145184755325317,1.0987663716077805,,1.2246684432029724,352,0,297,0,0,3298,,89,0,997,,352,0,297,0,0,73,,89,0,21,,0,0,0,0,0,3225,,0,0,976,,0,0,0,0,0,0,,0,0,0,,,,,9053375.0,,,,,,,,380063.0,,28404.0,380063.0,,28404.0,408467.0,408467,
United States,2023-03-01,,,217951,,24.034910678863525,,251,,,251,,,,,127,,,127,,,,0,,,,,49,1949,,1998,427,1949,,2376,,,,,121,,,121,44,1222,,1266,165,1222,,1387,592,3171,,3763,23754,326479,,350233,2.4480987191200256,0.9613114595413208,,1.0626263916492462,251,0,127,0,0,1998,,121,0,1266,,251,0,127,0,0,49,,121,0,44,,0,0,0,0,0,1949,,0,0,1222,,0,0,0,0,0,0,,0,0,0,,,,,9068628.0,,,,,,,,329650.0,,24346.0,329650.0,,24346.0,353996.0,353996,
United States,2023-04-01,,,184773,,20.563721179962158,,187,,,187,,,,,55,,,55,,,,0,,,,,24,1112,,1136,266,1112,,1378,,,,,169,,,169,53,1262,,1315,222,1262,,1484,488,2374,,2862,17743,241737,,259480,2.6890400648117065,0.9655441045761108,,1.0849130302667618,187,0,55,0,0,1136,,169,0,1315,,187,0,55,0,0,24,,169,0,53,,0,0,0,0,0,1112,,0,0,1262,,0,0,0,0,0,0,,0,0,0,,,,,8991724.0,,,,,,,,244111.0,,18231.0,244111.0,,18231.0,262342.0,262342,
United States,2023-05-01,,,217923,,19.68898277282715,,233,,,233,,,,,27,,,27,,,,0,,,,,17,1064,,1081,277,1064,,1341,,,,,263,,,263,54,1638,,1692,317,1638,,1955,594,2702,,3296,15675,239506,,255181,3.722209024429321,1.1274161100387574,,1.2881438732147217,233,0,27,0,0,1081,,263,0,1692,,233,0,27,0,0,17,,263,0,54,,0,0,0,0,0,1064,,0,0,1638,,0,0,0,0,0,0,,0,0,0,,,,,11063521.0,,,,,,,,242208.0,,16269.0,242208.0,,16269.0,258477.0,258477,
United States,2023-06-01,,,130183,,15.11553406715393,,260,,,260,,,,,30,,,30,,,,0,,,,,19,847,,866,309,847,,1156,,,,,190,,,190,28,630,,658,218,630,,848,527,1477,,2004,9187,137200,,146387,5.420735716819763,1.0634199529886246,,1.3512309789657593,260,0,30,0,0,866,,190,0,658,,260,0,30,0,0,19,,190,0,28,,0,0,0,0,0,847,,0,0,630,,0,0,0,0,0,0,,0,0,0,,,,,8607994.0,,,,,,,,138677.0,,9714.0,138677.0,,9714.0,148391.0,148391,
United States,2023-07-01,,,131609,,12.365546035766602,,302,,,302,,,,,23,,,23,,,,0,,,,,17,1035,,1052,342,1035,,1377,,,,,129,,,129,9,594,,603,138,594,,732,480,1629,,2109,8754,152060,,160814,5.348518562316895,1.0604730367660522,,1.2950005531311035,302,0,23,0,0,1052,,129,0,603,,302,0,23,0,0,17,,129,0,9,,0,0,0,0,0,1035,,0,0,594,,0,0,0,0,0,0,,0,0,0,,,,,10647893.0,,,,,,,,153689.0,,9234.0,153689.0,,9234.0,162923.0,162923,
United States,2023-08-01,,,147958,,16.769509315490723,,213,,,213,,,,,37,,,37,,,,0,,,,,28,890,,918,278,890,,1168,,,,,89,,,89,16,517,,533,105,517,,622,383,1407,,1790,7426,171963,,179389,4.912188172340393,0.8203643262386322,,0.9997767060995102,213,0,37,0,0,918,,89,0,533,,213,0,37,0,0,28,,89,0,16,,0,0,0,0,0,890,,0,0,517,,0,0,0,0,0,0,,0,0,0,,,,,8805059.0,,,,,,,,173370.0,,7809.0,173370.0,,7809.0,181179.0,181179,
United States,2023-09-01,,,185422,,20.90805721282959,,337,,,337,,,,,43,,,43,,,,0,,,,,40,1283,,1323,420,1283,,1703,,,,,103,,,103,14,708,,722,117,708,,825,537,1991,,2528,11516,235041,,246557,4.507339894771576,0.8357245624065399,,1.009996935725212,337,0,43,0,0,1323,,103,0,722,,337,0,43,0,0,40,,103,0,14,,0,0,0,0,0,1283,,0,0,708,,0,0,0,0,0,0,,0,0,0,,,,,8869532.0,,,,,,,,237032.0,,12053.0,237032.0,,12053.0,249085.0,249085,
United States,2023-10-01,,,315771,,25.349042892456055,,1196,,,1196,,,,,141,,,141,,,,0,,,,,167,4031,,4198,1504,4031,,5535,,,,,347,,,347,47,1830,,1877,394,1830,,2224,1898,5861,,7759,13704,337512,,351216,12.153276062011718,1.6723633050918578,,2.1252779245376585,1196,0,141,0,0,4198,,347,0,1877,,1196,0,141,0,0,167,,347,0,47,,0,0,0,0,0,4031,,0,0,1830,,0,0,0,0,0,0,,0,0,0,,,,,12456755.0,,,,,,,,343373.0,,15602.0,343373.0,,15602.0,358975.0,358975,
United States,2023-11-01,,,365109,,36.61046028137207,,2255,,,2255,,,,,464,,,464,,,,0,,,,,574,17072,,17646,3293,17072,,20365,,,,,634,,,634,123,5369,,5492,757,5369,,6126,4050,22441,,26491,10367,382973,,393340,28.209928035736084,5.4480321407318115,,6.221134662628174,2255,0,464,0,0,17646,,634,0,5492,,2255,0,464,0,0,574,,634,0,123,,0,0,0,0,0,17072,,0,0,5369,,0,0,0,0,0,0,,0,0,0,,,,,9978982.0,,,,,,,,405414.0,,14417.0,405414.0,,14417.0,419831.0,419831,
United States,2023-12-01,,,578748,,56.93675518035889,,4388,,,4388,,,,,1174,,,1174,,,,0,,,,,1241,70187,,71428,6803,70187,,76990,,,,,1050,,,1050,190,15179,,15369,1240,15179,,16419,8043,85366,,93409,10975,503017,,513992,42.308884620666504,14.402090311050415,,15.277412176132202,4388,0,1174,0,0,71428,,1050,0,15369,,4388,0,1174,0,0,1241,,1050,0,190,,0,0,0,0,0,70187,,0,0,15179,,0,0,0,0,0,0,,0,0,0,,,,,10211485.0,,,,,,,,588383.0,,19018.0,588383.0,,19018.0,607401.0,607401,
United States,2024-01-01,,,575084,,46.73822784423828,,4299,,,4299,,,,,1762,,,1762,0,,,0,,,,,995,70639,,71634,7056,70639,,77695,,,,,1461,,,1461,281,23426,,23707,1742,23426,,25168,8798,94065,,102863,13401,534805,,548206,39.69273681640625,15.001193809509278,,15.839662742614745,4299,0,1762,0,0,71634,,1461,0,23707,,4299,0,1762,0,0,995,,1461,0,281,,0,0,0,0,0,70639,,0,0,23426,,0,0,0,0,0,0,,0,0,0,,,,,12292592.0,,,,,,,,628870.0,,22199.0,628870.0,,22199.0,651069.0,651069,
United States,2024-02-01,,,432821,,42.83331108093262,,2040,,,2040,,,,,1674,,,1674,0,,,0,,,,,711,42274,,42985,4425,42274,,46699,,,,,1798,,,1798,236,30820,,31056,2034,30820,,32854,6459,73094,,79553,9826,398922,,408748,39.68425273895264,15.470869779586792,,16.277271270751953,2040,0,1674,0,0,42985,,1798,0,31056,,2040,0,1674,0,0,711,,1798,0,236,,0,0,0,0,0,42274,,0,0,30820,,0,0,0,0,0,0,,0,0,0,,,,,10106355.0,,,,,,,,472016.0,,16285.0,472016.0,,16285.0,488301.0,488301,
United States,2024-03-01,,,332448,,33.31419038772583,,1063,,,1063,,,,,1285,,,1285,0,,,0,,,,,512,22345,,22857,2860,22345,,25205,,,,,1441,,,1441,143,21237,,21380,1584,21237,,22821,4444,43582,,48026,8179,333886,,342065,34.943984031677246,11.415709495544434,,12.174896717071533,1063,0,1285,0,0,22857,,1441,0,21380,,1063,0,1285,0,0,512,,1441,0,143,,0,0,0,0,0,22345,,0,0,21237,,0,0,0,0,0,0,,0,0,0,,,,,9968529.0,,,,,,,,377468.0,,12623.0,377468.0,,12623.0,390091.0,390091,
United States,2024-04-01,,,299620,,24.21755905151367,,673,,,673,,,,,1014,,,1014,0,,,0,,,,,240,10100,,10340,1927,10100,,12027,,,,,867,,,867,137,8590,,8727,1004,8590,,9594,2931,18690,,21621,5451,343247,,348698,34.25470123291016,5.0169782638549805,,5.67893648147583,673,0,1014,0,0,10340,,867,0,8727,,673,0,1014,0,0,240,,867,0,137,,0,0,0,0,0,10100,,0,0,8590,,0,0,0,0,0,0,,0,0,0,,,,,12383851.0,,,,,,,,361937.0,,8382.0,361937.0,,8382.0,370319.0,370319,
United States,2024-05-01,,,192233,,19.889726161956787,,206,,,206,,,,,387,,,387,1,,,1,,,,,104,2502,,2606,698,2502,,3200,,,,,224,,,224,25,1275,,1300,249,1275,,1524,947,3777,,4724,3589,198096,,201685,20.810439586639404,1.8572585880756378,,2.2759124636650085,206,0,387,1,0,2606,,224,0,1300,,206,0,387,1,0,104,,224,0,25,,0,0,0,0,0,2502,,0,0,1275,,0,0,0,0,0,0,,0,0,0,,,,,9660509.0,,,,,,,,201873.0,,4536.0,201873.0,,4536.0,206409.0,206409,
United States,2024-06-01,,,150050,,15.9243323802948,,291,,,291,,,,,508,,,508,0,,,0,,,,,88,1563,,1651,887,1563,,2450,,,,,152,,,152,12,378,,390,164,378,,542,1051,1941,,2992,4135,161530,,165665,20.49569320678711,1.175295576453209,,1.7659551203250885,291,0,508,0,0,1651,,152,0,390,,291,0,508,0,0,88,,152,0,12,,0,0,0,0,0,1563,,0,0,378,,0,0,0,0,0,0,,0,0,0,,,,,9418751.0,,,,,,,,163471.0,,5186.0,163471.0,,5186.0,168657.0,168657,
United States,2024-07-01,,,170496,,14.651207160949706,,326,,,326,,,,,537,,,537,11,,,11,,,,,104,1343,,1447,978,1343,,2321,,,,,42,,,42,4,167,,171,46,167,,213,1024,1510,,2534,6128,207462,,213590,14.401762580871582,0.7311875820159912,,1.1854732155799865,326,0,537,11,0,1447,,42,0,171,,326,0,537,11,0,104,,42,0,4,,0,0,0,0,0,1343,,0,0,167,,0,0,0,0,0,0,,0,0,0,,,,,11637041.0,,,,,,,,208972.0,,7152.0,208972.0,,7152.0,216124.0,216124,
United States,2024-08-01,,,159672,,16.800307273864746,,275,,,275,,,,,346,,,346,1,,,1,,,,,51,809,,860,673,809,,1482,,,,,14,,,14,1,121,,122,15,121,,136,688,930,,1618,4871,207946,,212817,12.420673847198486,0.4473639950156212,,0.760050818324089,275,0,346,1,0,860,,14,0,122,,275,0,346,1,0,51,,14,0,1,,0,0,0,0,0,809,,0,0,121,,0,0,0,0,0,0,,0,0,0,,,,,9493644.0,,,,,,,,208876.0,,5559.0,208876.0,,5559.0,214435.0,214435,
United States,2024-09-01,,,236715,,19.20784111022949,,395,,,395,,,,,387,,,387,4,,,4,,,,,79,1405,,1484,865,1405,,2270,,,,,20,,,20,0,206,,206,20,206,,226,885,1611,,2496,5597,297548,,303145,13.715141677856446,0.5359101891517639,,0.8138617277145386,395,0,387,4,0,1484,,20,0,206,,395,0,387,4,0,79,,20,0,0,,0,0,0,0,0,1405,,0,0,206,,0,0,0,0,0,0,,0,0,0,,,,,12330683.0,,,,,,,,299159.0,,6482.0,299159.0,,6482.0,305641.0,305641,
United States,2024-10-01,,,226887,,21.026467323303223,,415,,,415,,,,,432,,,432,43,,,43,,,,,90,2300,,2390,980,2300,,3280,,,,,39,,,39,21,270,,291,60,270,,330,1040,2570,,3610,4532,280302,,284834,18.61623239517212,0.9039407074451447,,1.244934767484665,415,0,432,43,0,2390,,39,0,291,,415,0,432,43,0,90,,39,0,21,,0,0,0,0,0,2300,,0,0,270,,0,0,0,0,0,0,,0,0,0,,,,,10782130.0,,,,,,,,282872.0,,5572.0,282872.0,,5572.0,288444.0,288444,